"DATA","HORÁRIO","BLOCO","LOCAL DA CONCETRAÇÃO","RITMOS","TAMANHO PÚBLICO","LGBT"
"07/02","08h","ClandesTinas","R. Aarão Reis, 585, Centro","AXÉ, FUNK, ROCK, MPB, FORRÓ, PAGODE, SAMBA, POP, MARCHINHA","Pequeno","🏳️‍🌈"
"07/02","09h","Andacunfé","R. Oligisto, 417, Santa Tereza","AXÉ, MPB, FORRÓ, SAMBA, AFRO","Médio","🏳️‍🌈"
"07/02","09h","Bloco da Família","R. Outono, 599, Cruzeiro","MARCHINHA","Pequeno","👶"
"07/02","09h","Bloco do Chifrudo","R. Progresso, 810, Padre Eustáquio","AXÉ, FUNK, ROCK, MPB, FORRÓ, PAGODE, SAMBA, SERTANEJO, POP, MARCHINHA, AFRO","Pequeno",""
"07/02","09h","Bloquin da Árvore","Praça Nova York, Sion","AXÉ, PAGODE, SAMBA","Pequeno",""
"07/02","09h","Caprichosos de Beagá","Av. João Pinheiro, 467, Boa Viagem","AXÉ, MPB, SAMBA, POP, MARCHINHA, OUTROS","Pequeno","👶"
"07/02","09h","Fera Neném","R. dos Dominicanos, 44, Serra","AXÉ, PAGODE, SAMBA, MARCHINHA, OUTROS","Médio","👶"
"07/02","09h","Mama Na Vaca","Praça Cairo, Santo Antônio","MARCHINHA","Grande","🏳️‍🌈"
"07/02","09h","Me Respeita que Eu Sou Criança","Alameda dos Jacarandás, 1300, São Luiz","OUTROS","Pequeno","👶"
"07/02","09h30","Beleza Rara","R. Zuzu Angel, 356, Belvedere","AXÉ, MPB, FORRÓ, PAGODE, SERTANEJO, POP, MARCHINHA","Pequeno",""
"07/02","09h30","Bloco Vibe de Voltá","Av. José Cândido da Silveira, 2000, União","AXÉ, SAMBA, MARCHINHA","Pequeno",""
"07/02","10h","Bloco de Pífanos BH","R. Jequirica, 223, Concórdia","MPB, FORRÓ, OUTROS, AFRO","Médio","🏳️‍🌈"
"07/02","10h","Então, Planta!","R. Mármore, 169, Santa Tereza","AXÉ, SAMBA, MARCHINHA, AFRO","Pequeno",""
"07/02","10h","Lá do Bacuraus: Bonecos Gigantes Reciclados","R. Adolfo Lutz, 21, Campo Alegre","OUTROS, AFRO","Pequeno",""
"07/02","10h","Uai Ce Samba","Av. dos Engenheiros, 211, Alípio de Melo","SAMBA","Médio",""
"07/02","10h30","De Mentes Brilhantes","R. José dos Santos Lage, 315, Teixeira Dias","AXÉ, FUNK, PAGODE, SAMBA, AFRO","Pequeno",""
"07/02","11h","Banda Linda","R. Pinheiros, 1040, Nova Cachoeirinha","AXÉ, ROCK, SAMBA, AFRO","Pequeno",""
"07/02","12h","Bloco Coquistas de Tia Toinha","R. Aarão Reis, 462, Centro","AXÉ, MPB, JAZZ, SAMBA, AFRO","Pequeno",""
"07/02","12h","Bloco do Cajado","R. Silva Jardim, 239, Floresta","AXÉ, ROCK, MPB, SAMBA, POP, MARCHINHA, AFRO","Pequeno",""
"07/02","12h","Choro Elétrico","R. Conselheiro Rocha, 1407, Vila Dias","CHORO","Pequeno",""
"07/02","12h","Matilda Fugiu","Praça Cajuri, 146, Santa Inês","MARCHINHA","Pequeno",""
"07/02","12h","Samba do Imperador","R. Artur Haas, 380, Jardim Montanhês","PAGODE, SAMBA, MARCHINHA","Pequeno",""
"07/02","12h30","Atenção Creuzebeck","R. Oeste, 425, Calafate","AXÉ, ROCK, MPB, FORRÓ","Médio",""
"07/02","12h30","Bloco Duro","R. Alvinópolis, 460, Santa Tereza","AXÉ, ROCK, MPB, FORRÓ, SAMBA, POP, MARCHINHA, OUTROS","Pequeno",""
"07/02","13h","A Justiça Não é Cega","R. Bernardo Guimarães, 178, Funcionários","FORRÓ, PAGODE, SAMBA, MARCHINHA, AFRO","Pequeno","🏳️‍🌈"
"07/02","13h","Arrastão Bloco Show","R. Iara, 152, Pompéia","AXÉ, MARCHINHA, AFRO","Médio",""
"07/02","13h","Bloco do Barba Roxa","R. Conde de Linhares, 906, Coração de Jesus","ROCK, SAMBA, POP, MARCHINHA","Pequeno",""
"07/02","13h","Bloco Luluvinhas","R. Curitiba, 2437, Lourdes","ROCK, MPB, POP","Pequeno",""
"07/02","13h","CEFET Com Banana","Av. Brasil, 1145, Funcionários","AXÉ, FUNK, ROCK, MPB, PAGODE, SAMBA, SERTANEJO, POP, OUTROS","Médio",""
"07/02","13h","Cómo Te Lhama?","R. Gomes Pereira, 195, Horto Florestal","CUMBIA, RITMOS LATINOS","Grande",""
"07/02","13h","Pablo Martinelli: É Disso que tô Falando","Av. Fleming, 700, Ouro Preto","SERTANEJO","Pequeno",""
"07/02","13h30","Liberdade e Água Limpa","R. Judiaí, 111, Concórdia","AXÉ, MPB, FORRÓ, SAMBA, MARCHINHA, AFRO","Pequeno",""
"07/02","14h","Axéuai","Av. Bento Simão, 685, São Bento","AXÉ","Pequeno",""
"07/02","14h","Bandulino","R. Sergipe, 1060, Savassi","AXÉ, MPB, SAMBA, POP, MARCHINHA","Médio",""
"07/02","14h","Bloco CSH","R. Jacuí, 3862, Ipiranga","AXÉ, MPB, SAMBA","Pequeno",""
"07/02","14h","Bloco da Nega","Av. Getúlio Vargas, 840, Savassi","AXÉ, FUNK, MPB, POP, OUTROS","Pequeno",""
"07/02","14h","Bloco Demorô","Av. Magenta, 571, Vitória","AXÉ, ROCK, FORRÓ, MARCHINHA","Pequeno",""
"07/02","14h","Bloco do Pescoção","Av. Alvares Cabral, 360, Lourdes","AXÉ, MPB, SAMBA, MARCHINHA, AFRO","Médio",""
"07/02","14h","Bloco do Povo","Av. General Olimpio Mourão Filho, 333, Planalto","AXÉ","Médio","🏳️‍🌈"
"07/02","14h","Bloco do Saraiva","R. Atalaia, 191, Caiçaras","SAMBA","Pequeno",""
"07/02","14h","Bloco Mafia Azul","R. dos Guajajaras, 1757, Barro Preto","FUNK, SAMBA","Pequeno",""
"07/02","14h","Bloco Ta Mole Mais É Meu","R. Dom Oscar Romero, 345, Nova Gameleira","MARCHINHA, OUTROS","Pequeno",""
"07/02","14h","Bloco Tôdoido?","R. Helium, 550, Nova Floresta","AXÉ, MPB, FORRÓ, PAGODE, SAMBA, AFRO","Pequeno",""
